Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Cäsium-134 Cs-134;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Cäsium-137 Cs-137;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Iod-131 I-131;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Kalium-40 K-40;3,19E+01;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Beryllium-7 Be-7;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Cobalt-60 Co-60;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Natrium-22 Na-22;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Chrom-51 Cr-51;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Mangan-54 Mn-54;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Cobalt-57 Co-57;n.n.;Bq/kg(FM)
